"id","comment_text","diag"
"id1","abdominal_bloating,abdominal_discomfort,abdominal_distension,"bronchiectasis"
"id2","abdominal_bloating,abdominal_discomfort,abdominal_distension,abdominal_fullness,abdominal_pain,abdominal_tenderness,"brucellosis"
"id3","abdominal_bloating,abdominal_discomfort,abdominal_distension,"crohn_disease"
"id4","airway_obstruction,airway_resistance_raise,alt_raise,"eosinophilic_pneumonia"
"id5","abdominal_bloating,abdominal_discomfort,abdominal_pain,abdominal_tenderness,acidosis,"glomerulonephritis"
"id6","abdominal_bloating,abdominal_discomfort,abdominal_distension,abdominal_fullness,abdominal_pain,abdominal_tenderness,"granulomatosis"
"id7","abdominal_bloating,abdominal_discomfort,abdominal_distension,abdominal_fullness,"pneumonia"
"id8","abdominal_bloating,abdominal_discomfort,abdominal_distension,abdominal_fullness,"pulmonary_tuberculosis"
"id9","abdominal_bloating,abdominal_discomfort,abdominal_fullness,abdominal_pain,abdominal_tenderness,abscess,acanthosis_nigricans,achlorhydria,acne,"rheumatoid_arthritis"
"id10","abdominal_bloating,abdominal_discomfort,abdominal_distension,abdominal_fullness,abdominal_pain,abdominal_tenderness,abducens_palsy,abscess,"systemic_lupus_erythematosus"
"id11","abdominal_bloating,abdominal_discomfort,abdominal_distension,abdominal_fullness,abdominal_pain,abdominal_tenderness,acalculia,achalasia,"systemic_sclerosis"
"id12","abdominal_bloating,abdominal_bruit,abdominal_discomfort,abdominal_distension,abdominal_fullness,abdominal_pain,"vasculitis"
